 1. Budget for the action,All Years,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year 1,Unnamed: 6,Unnamed: 7,Unnamed: 8
Costs,Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)",Unit,# of units,"Unit value
(in EUR)","Total Cost
(in EUR)"
1. Human Resources,,,,,,,,
"1.1 Salaries (gross salaries including social security charges and other related costs, local staff)",,,,,,,,
   1.1.0 Fairfood - Country Program Manager (80%) (last 18 months),Per month,18,3200,57600,Per month,18,3200,57600
   1.1.1 Fairfood - Local M&E and data analist (80%),Per month,28.8,2500,72000,Per month,9.6,2500,24000
   1.1.2 WWF - Project Leader (100%),Per month,36,1922,69192,Per month,12,1922,23064
   1.1.3 WWF - Aceh Stakeholder Engagament (30%),Per month,10.8,1182,12765.6,Per month,3.6,1182,4255.2
   1.1.4 WWF - Lampung Stakeholder Engagement (30%),Per month,10.8,1183,12776.4,Per month,3.6,1183,4258.8
   1.1.5 WWF - Lampung Technical Officer (100%),Per month,36,901,32436,Per month,12,901,10812
   1.1.6 WWF - Sustainable Finance Officer (20%),Per month,7.2,901,6487.2,Per month,2.4,901,2162.4
   1.1.7 WWF - Aceh Technical Officer (100%),Per month,36,901,32436,Per month,12,901,10812
   1.1.8 WWF - PMEL Officer (100%),Per month,36,1045,37620,Per month,12,1045,12540
   1.1.9 WWF - Communications Officer (40%)   ,Per month,14.4,756,10886.4,Per month,4.8,756,3628.8
   1.1.10 WWF - Project Admin Officer (100%),Per month,36,683,24588,Per month,12,683,8196
   1.1.11 WWF -  Grant & Finance Management Specialist (100%),Per month,36,1439.78,51832.08,Per month,12,1439.78,17277.36
   1.1.12 Sucafina - Project Manager (100%) ,Per month,36,1333,47988,Per month,12,1333,15996
   1.1.13 Sucafina - Country Sustainability Manager (25%),Per month,9,2778,25002,Per month,3,2778,8334
   1.1.14 Sucafina - Field facilitators - 6 persons (100%),Per month,216,425,91800,Per month,72,425,30600
   1.1.15 Sucafina - Traceability and data expert (10%),Per month,3,3333,9999,Per month,1,3333,3333
   1.1.16 PT CAN - Project coordinator (100%),Per month,36,800,28800,Per month,12,800,9600
   1.1.17 PT CAN - Project coordinator assistant (100%),Per month,36,650,23400,Per month,12,650,7800
   1.1.18 PT CAN - Training Coordinator (100%),Per month,30,500,15000,Per month,10,500,5000
   1.1.19 PT CAN - Field Inspector (100%),Per month,36,500,18000,Per month,12,500,6000
   1.1.20 PTCAN - Field Inspector Assistant (100%),Per month,36,400,14400,Per month,12,400,4800
   1.1.21 PTCAN - Community Dev. Specialist (100%),Per month,30,500,15000,Per month,10,500,5000
   1.1.22 PTCAN - Financial Inclusion Analyst (100%),Per month,36,400,14400,Per month,12,400,4800
   1.1.23 PTCAN - Soil Microbiology Specialist (50%),Per month,18,500,9000,Per month,6,500,3000
   1.1.24 PTCAN - Nursery Operator (50%),Per month,18,500,9000,Per month,6,500,3000
   1.1.25 PTCAN - Post-harvesting Operator (50%),Per month,18,500,9000,Per month,6,500,3000
   1.1.26 PTKGF - Project Manager (70%),Per month,25,1209.1,30227.5,Per month,8.399999999999999,1209.1,10156.44
   1.1.27 PTKGF - Technical manager (70%),Per month,25,1209.1,30227.5,Per month,8.399999999999999,1209.1,10156.44
   1.1.28 PTKGF - Digital Solution Officer (100%),Per month,36,302.3,10882.8,Per month,12,302.3,3627.6
   1.1.29 PTKGF - Digital Solution Assistant (50%),Per month,15,241.9,3628.5,Per month,3,241.9,725.7
   1.1.30 PTKGF - Change Maker Coordinator (100%),Per month,30,423.20000000000005,12696,Per month,6,423.2,2539.2
   1.1.31 PTKGF - Change maker  - 10 persons (100%),Per month,300,302.3,90690,Per month,60,302.3,18138
   1.1.32 PTKGF - Farm Officer (100%),Per month,30,332.5,9975,Per month,6,332.5,1995
   1.1.33 PTKGF - Farm Assistant  - 2 persons (100%),Per month,60,241.9,14514,Per month,12,241.9,2902.8
   1.1.34 PTKGF - Data Management Officer( 100%),Per month,30,362.8,10884,Per month,6,362.8,2176.8
   1.1.35 PTKGF - Data Management Assistant - 2 persons (100%),Per month,60,181.4,10884,Per month,12,181.4,2176.8
   1.1.36 PTKGF -  Finance Manager (70%),Per month,24,544.1,13058.4,Per month,7,544.1,3808.7
   1.1.37 PTKGF -  Finance and Admin Assistant (100%),Per month,32,211.6,6771.2,Per month,8,211.6,1692.8
   1.1.38 PTKGF - Finance Inclusion Officer (100%),Per month,25,362.8,9070,Per month,6,362.8,2176.8
   1.1.39 PTKGF - Operation Manager (100%),Per month,34,423.20000000000005,14388.8,Per month,10,423.2,4232
   1.1.40 Verstegen - Implementation Expert (30%),Per month,10.8,1102.67,11908.836,Per month,3.6,1102.67,3969.612
   1.1.41 Verstegen -Quality Assurance Team (20%),Per month,7.2,553.24,3983.328,Per month,2.4,553.24,1327.776
   1.1.42 Verstegen - Quality Control Team 20%),Per month,7.2,435.11,3132.792,Per month,2.4,435.11,1044.264
   1.1.43 Verstegen - Field Officer Team (100%),Per month,36,219.69,7908.84,Per month,12,219.69,2636.28
"1.2 Salaries (gross salaries including social security charges and other related costs, expat/int. staff)",,,,,,,,
   1.2.1 Fairfood - Program manager (30%),Per month,11.9763,8500,101798.55,Per month,3.9921,8500,33932.85
   1.2.2 Fairfood - Donor Engagement manager (15%),Per month,6.57645,8500,55899.825,Per month,2.19215,8500,18633.275
   1.2.3 Fairfood - Corporate Partnerships Manager (20%),Per month,7.2,8500,61200,Per month,2.4,8500,20400
   1.2.4 Fairfood - Financial Adviser (20%),Per month,7.2,8500,61200,Per month,2.4,8500,20400
   1.2.5 Fairfood - Communications Adviser (20%),Per month,7.2,8500,61200,Per month,2.4,8500,20400
   1.2.6 Fairfood - PME & Learning Manager (25%),Per month,9,8500,76500,Per month,3,8500,25500
   1.2.7 Sucafina -  APAC Sustainability Manager (10%),Per month,3.6,4762,17143.2,Per month,1.2,4762,5714.4
   1.2.8 Sucafina - Subject matter specialists (Human rights/agronomy/program design) (advise per hour when needed),Per month,0.75,5143,3857.25,Per month,0.25,5143,1285.75
   1.2.9 Verstegen - Program / Project manager (30%),Per month,10.8,8744,94435.2,Per month,3.6,8744,31478.4
   1.2.10 Verstegen - Agroforestry Expert (15%),Per month,5.4,6440,34776,Per month,1.8,6440,11592
   1.2.11 Verstegen - Program Management Senior (5%),Per month,1.8,11901,21421.8,Per month,0.6,11901,7140.6
   1.2.12 Verstegen - CFO Verstegen (5%),Per month,1.8,11872,21369.6,Per month,0.6,11872,7123.2
   1.2.13 Verstegen - Marketing Team (5%),Per month,1.8,6752,12153.6,Per month,0.6,6752,4051.2
1.3 Per diems for missions,,,,0,,0,,
