This worksheet is to be completed in case the action is fully (tab 1a) or partly (tab 1b) cost-based ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2. Justification of the budget for the action,All Years,,,,,,,
Costs,Clarification of the budget items,Justification of the estimated costs,,,,,,
1. Human Resources,,,,,,,,
"1.1 Salaries (gross salaries including social security charges and other related costs, local staff)",,,,,,,,
   1.1.0 Fairfood - Country Program Manager (80%) (last 18 months),"An in-country external expert contracted by Fairfood International to manage day-to-day programme operations in Indonesia — partner coordination, field oversight, government liaison, progress reporting and logistics management. This role is essential because Fairfood's core programme staff are based in the Netherlands; a dedicated in-country manager ensures operational continuity and effective field presence. ","EUR 3,200/month × 18 months = EUR 57,600. Rate reflects senior programme management for an experienced Indonesian development professional. Additional note: The expert will be external the first 18 months of the project. The remaining last 18 months the expert will be hired as staff member.",,,,,,
   1.1.1 Fairfood - Local M&E and data analist (80%),"The M&E and Data Analyst supports Fairfood's overall programme monitoring, evaluation and learning (PME&L) function. The role manages the Digital MRV system (Pillar D), coordinates baseline/endline data collection across Bangka/Belitung and Lampung, and ensures programme-level data quality for donor reporting. Operating at 80% FTE reflects the staff member's shared responsibility with other Fairfood programmes.","EUR 2,500/month (gross, including employer social charges) × 28.8 months (80% of 36) = EUR 72,000. Monthly rate based on Fairfood Indonesia local pay scale for an M&E professional with at least 5 years' experience.",,,,,,
   1.1.2 WWF - Project Leader (100%),"WWF's Project Leader provides overall coordination of WWF Indonesia's work streams across all three regions (Bangka/Belitung, Lampung, Aceh). The role manages Outputs 1.1 and 1.2 (landscape analyses and community by-laws), oversees sub-national government liaison, and ensures WWF Indonesia delivers its contractual obligations within the consortium.","EUR 1,922/month × 36 months = EUR 69,192. Rate reflects WWF Indonesia pay scale for a senior project leader with landscape governance expertise.",,,,,,
   1.1.3 WWF - Aceh Stakeholder Engagament (30%),"This officer facilitates multi-stakeholder processes in Aceh, including the establishment of ILM forums, coordination with local government bodies (including BAPPENAS-endorsed engagement), and linkage with the Peusangan corridor conservation corridor work. Allocated at 30% FTE reflecting geographic focus on one of three provinces.","EUR 1,182/month × 10.8 months (30% of 36) = EUR 12,766. Rate reflects WWF Indonesia salary scale for a stakeholder engagement officer with provincial government relations experience.",,,,,,
   1.1.4 WWF - Lampung Stakeholder Engagement (30%),"Mirrors the Aceh role for Lampung province. Facilitates multi-stakeholder ILM forums, supports development of six participatory landscape plans (Output 1.1), and coordinates with Lampung district authorities on community by-law development (Output 1.2). Allocated at 30% reflecting focus on one province.","EUR 1,183/month × 10.8 months = EUR 12,776. Rate equivalent to the Aceh Stakeholder Engagement Officer, reflecting comparable seniority and responsibilities in Lampung.",,,,,,
   1.1.5 WWF - Lampung Technical Officer (100%),"Provides full-time technical support for agroforestry and landscape intervention activities in Lampung. The Technical Officer supports demo plot establishment (Output 2.1), coordinates nursery development, assists with Climate Risk Assessment (Act. 1.1.1), and provides technical input to ILM forum processes. Full-time allocation is required given the intensity of field activities across two communities in Lampung.","EUR 901/month × 36 months = EUR 32,436. Rate reflects WWF Indonesia technical officer pay scale at mid-level seniority.",,,,,,
   1.1.6 WWF - Sustainable Finance Officer (20%),"Supports the Landscape Finance Approach (LFA) work stream aligned with TNFD and SBTN frameworks. The Sustainable Finance Officer contributes to the design of the LFA mechanism, engages with DFI and investor audiences, and supports WWF Netherlands in producing investor-facing documentation. Allocated at 20% FTE given the specialist and cross-cutting nature of this role.","EUR 901/month × 7.2 months (20% of 36) = EUR 6,487. Rate consistent with WWF Indonesia technical officer scale; lower FTE reflects advisory rather than operational function.",,,,,,
   1.1.7 WWF - Aceh Technical Officer (100%),"Full-time technical field presence in Aceh supporting landscape governance, agroforestry demo plot work in the Peusangan corridor, stakeholder engagement with coffee farming communities, and coordination with Sucafina Indonesia on EUDR-aligned traceability and Climate Risk Assessment. Full-time allocation is required to sustain continuous engagement across two communities in a geographically remote province.","EUR 901/month × 36 months = EUR 32,436. Rate matches Lampung Technical Officer, reflecting equivalent seniority and field responsibility.",,,,,,
   1.1.8 WWF - PMEL Officer (100%),"The Planning, Monitoring, Evaluation and Learning (PMEL) Officer manages WWF Indonesia's internal results tracking, feeds data into the consortium-wide Digital MRV system (Pillar D), prepares progress reports, and coordinates with Fairfood's M&E function. This role is required full-time given the data-intensive nature of the action and the requirement for quarterly EC reporting.","EUR 1,045/month × 36 months = EUR 37,620. Slightly higher rate than Technical Officers reflects seniority and specialist data management skills.",,,,,,
   1.1.9 WWF - Communications Officer (40%)   ,"Manages WWF Indonesia's communication activities for the programme, including production of field stories, social media content, publications and EU-visibility compliant materials. Also supports the ILM forum documentation and policy alignment reports. Allocated at 40% FTE reflecting part-time allocation alongside WWF Indonesia's institutional communications function.","EUR 756/month × 14.4 months (40% of 36) = EUR 10,886. Rate reflects junior-to-mid communications staff scale at WWF Indonesia.",,,,,,
   1.1.10 WWF - Project Admin Officer (100%),"Provides full-time administrative, logistical and financial administration support for WWF Indonesia's project office. Manages procurement, travel bookings, meeting coordination, filing and document management. Essential to maintain compliance with EC procurement and administrative requirements across a complex six-partner consortium.","EUR 683/month × 36 months = EUR 24,588. Entry-level administrative salary at WWF Indonesia.",,,,,,
   1.1.11 WWF -  Grant & Finance Management Specialist (100%),"Dedicated finance specialist responsible for grant financial management, expenditure tracking, sub-grant flows, preparation of financial reports, and ensuring compliance with EC financial regulations and general conditions. Given the multi-partner structure (six co-applicants) and the complexity of EU grant financial management requirements, a dedicated full-time specialist is essential.","EUR 1,440/month × 36 months = EUR 51,832. Higher rate reflects specialist qualification (accounting or finance degree, EU grant management experience), in line with comparable NGO finance roles in Indonesia.",,,,,,
